"arc_length","vx"
0,-3.14426e-15
0.00402,0.0112269
0.00804,0.0224538
0.01206,0.0336808
0.01608,0.0449077
0.0201,0.0561347
0.02412,0.0673617
0.02814,0.0785887
0.03216,0.0898157
0.03618,0.0989215
0.0402,0.107955
0.04422,0.116988
0.04824,0.126021
0.05226,0.135055
0.05628,0.144088
0.0603,0.153121
0.06432,0.162155
0.06834,0.16931
0.07236,0.176333
0.07638,0.183356
0.0804,0.190379
0.08442,0.197401
0.08844,0.204424
0.09246,0.211447
0.09648,0.218469
0.1005,0.223649
0.10452,0.228625
0.10854,0.233602
0.11256,0.238578
0.11658,0.243555
0.1206,0.248531
0.12462,0.253507
0.12864,0.258484
0.13266,0.26215
0.13668,0.265608
0.1407,0.269056
0.14472,0.272494
0.14874,0.275499
0.15276,0.277901
0.15678,0.280292
0.1608,0.282671
0.16482,0.285038
0.16884,0.286561
0.17286,0.288045
0.17688,0.289521
0.1809,0.290987
0.18492,0.292097
0.18894,0.292883
0.19296,0.29367
0.19698,0.294458
0.201,0.295172
0.20502,0.294877
0.20904,0.294582
0.21306,0.294289
0.21708,0.293997
0.2211,0.293245
0.22512,0.292305
0.22914,0.291356
0.23316,0.290398
0.23718,0.289108
0.2412,0.287265
0.24522,0.28541
0.24924,0.283543
0.25326,0.281639
0.25728,0.278772
0.2613,0.275893
0.26532,0.273005
0.26934,0.270106
0.27336,0.266143
0.27738,0.261687
0.2814,0.257231
0.28542,0.252775
0.28944,0.248319
0.29346,0.243863
0.29748,0.239407
0.3015,0.234951
0.30552,0.230463
0.30954,0.223804
0.31356,0.217144
0.31758,0.210484
0.3216,0.203825
0.32562,0.197165
0.32964,0.190506
0.33366,0.183846
0.33768,0.177186
0.3417,0.169787
0.34572,0.160989
0.34974,0.152192
0.35376,0.143394
0.35778,0.134597
0.3618,0.125799
0.36582,0.117002
0.36984,0.108204
0.37386,0.099407
0.37788,0.0890202
0.3819,0.0778787
0.38592,0.0667374
0.38994,0.055596
0.39396,0.0444546
0.39798,0.0333132
0.402,0.0221718
